name,country,year,category,standard
Абиссинская кошка,,1882,"
III – shorthair & somali",ABY
Бирманская кошка,,XIX век,,
Сиамская кошка,Таиланд,,"
IV - Siamese & Oriental",SIA
Саванна (порода кошек),,,,
Сингапурская кошка,,1976,"
3 — Shorthair",SIN
Серенгети (порода кошек),Штат,В начале 1990-х,,
Сейшельская кошка,,,,
Невская маскарадная кошка,,,"
II -semilonghair",
Селкирк-рекс,,1987,"
2 — Semi-Longhair",SRX (стандарт WCC)
Сибирская кошка,,,"
II — semi-longhair",SIB
Русская голубая кошка,,,"
III - shorthair & somali",RUS
Рэгдолл,,,,
Рагамаффин,США,1994 год,,
Пиксибоб,,,,
Персидская кошка,Древняя Персия (Большой  Иран),,"
I — persian & exotic",PER
Канаани (порода кошек),,,"
SH",
Питерболд,,,"
Preliminary recognized breeds",PEB (стандарт FIFE)
Бразильская короткошёрстная кошка,,,,
Австралийская дымчатая кошка,,,,
Селкирк-рекс,,1987,"
2 — Semi-Longhair",SRX (стандарт WCC)
Манчкин (порода кошек),,,,признана
Нибелунг (порода кошек),,,"
Полудлинношёрстная",NEB*
Питерболд,,,"
Preliminary recognized breeds",PEB (стандарт FIFE)
Рагамаффин,США,1994 год,,
Балинезийская кошка,,,"
IV - Siamese & Oriental",BAL
Эльф (порода кошек),,2006,,
Картезианская кошка,,,"
III - shorthair & somali",CHA
Сококе,,,,
Сфинкс (порода кошек),,,"
III - shorthair & somali",SPH
Сноу-шу,США,1982,,
Оцикет,,,,
,,,,
,,,,
Египетский мау,,,"
III - shorthair & somali",MAU
Бурма (порода кошек),,,"
III — shorthair & somali",BUR
Корниш-рекс,,,"
III - shorthair & somali",CRX
Кхао-мани,,,,
Ангорская кошка,,,"
II - semi-longhair",TUA
Кимрийская кошка,,,,
,,,,
,,,,
Картезианская кошка,,,"
III - shorthair & somali",CHA
Японский бобтейл,Япония,,," OSH, OLH"
Эгейская кошка,Греция,,,
Экзотическая кошка,,,"
I - persian & exotic",EXO
Цейлонская кошка,Шри-Ланка,,"
Короткошерстная",CEY
Хауси,,,,
Украинский левкой,,,,
Уральский рекс,,,"
II -cerlyhair",
Тойгер,,,,
Тонкинская кошка,,,"
Сиамо-Ориентальная короткошерстная",TON
Ангорская кошка,,,"
II - semi-longhair",TUA
Сфинкс (порода кошек),,,"
III - shorthair & somali",SPH
Сноу-шу,США,1982,,
Тайская кошка,Сиам,,"
4 - Siamese / Oriental Shorthair",THA
Турецкий ван,,,"
II - semi-longhair",TUV
Сомали (кошка),США,1972,"
III - shorthair & somali",SOM
Меконгский бобтейл,,,,
Нибелунг (порода кошек),,,"
Полудлинношёрстная",NEB*
Немецкий рекс,Германия,1930,"
III — короткошёрстная",GRX
Норвежская лесная кошка,,,"
",NFO
Ориентальная кошка,,,"
IV - Siamese & Oriental","OSH, OLH"
Мэнкс,,,"
III - shorthair & somali",MAN
Шотландская вислоухая кошка,Великобритания,,"
SH (короткошёрстные)","SFS (фолд), SFS71 (страйт)"
Мейн-кун,,,"
II -semilonghair",
Манчкин (порода кошек),,,,признана
,,,,
Корат (кошка),,,"
Короткошёрстная",KOR
Корниш-рекс,,,"
III - shorthair & somali",CRX
Карельский бобтейл,,,,
Курильский бобтейл,СССР,,"
III - shorthair & somali",KBL
Лаперм,США,,,
Йоркская шоколадная кошка,,,"
2 - Semi-Longhair",YOR
Гавана (порода кошек),,,,
Европейская кошка,,,"
Category III - shorthair & somali",EUR
Девон-рекс,,,"
Category III - Shorthair & Somali",DRX
Донской сфинкс,СССР,,"
Preliminary recognized breeds",DSP
Египетский мау,,,"
III - shorthair & somali",MAU
Гималайская кошка,Великобритания,,"
I -",PER
Бурмилла,,,"
III - shorthair & somali",BML
Бурма (порода кошек),,,"
III — shorthair & somali",BUR
Британская длинношёрстная кошка,,,"
Longhair",BLH
Британская короткошёрстная кошка,,XIX век,"
III — shorthair",
Бомбейская кошка,,,"
3 - Shorthair",BOM
Бенгальская кошка (домашняя),,,,
Кошка,,,,
Балинезийская кошка,,,"
IV - Siamese & Oriental",BAL
Аравийский мау,,,,ARM
Анатолийская кошка,,,"
3 — Shorthair",ANA
Австралийская дымчатая кошка,,,,
Американская короткошёрстная кошка,,,,
Азиатская табби,Великобритания,,,бирманской породы
Американский кёрл,,,"
II - semi-longhair",ACL
Американская жесткошёрстная кошка,,,"
Короткошёрстные",AWH
